Title,Content,Category,Source,URL,Publication Date,Word Count,Character Count
"ឱកាសឈ្នះរង្វាន់ពិសេស អាកាសយានដ្ឋានអន្តរជាតិតេជោ មានរង្វាន់ធំ សម្រាប់អ្នកមកកមន្សាន្ត និងធ្វើដំណើរ","ព័ត៌មានជាតិ ឱកាសឈ្នះរង្វាន់ពិសេស អាកាសយានដ្ឋានអន្តរជាតិតេជោ មានរង្វាន់ធំ សម្រាប់អ្នកមកកមន្សាន្ត និងធ","","","https://dap-news.com/national/2025/11/02/550516/",2025-11-02,953,1377
"ទូតអង់គ្លេស ចាត់ទុកថា អាកាសយានដ្ឋានអន្តរជាតិតេជោ ជាមោទកភាពបង្ហាញថា ខ្មែរអាចធ្វើបាន","សេដ្ឋកិច្ច ស៊ីស៊ីថាមស៍ អាកាសយានដ្ឋានអន្តរជាតិតេជោ។ រូបភាព៖ កណ្តាល៖ស្ថានទូតអង់គ្លេសប្រចាំកម្ពុជា នៅថ្","","","https://kh.cc-times.com/posts/23517",2025-06-03,4556,6674
"កម្ពុជាសម្រេចចិត្តធានាការ ផ្គត់ផ្គង់អគ្គិសនី និង អ៊ីនធឺណិត ដោយខ្លួនឯង ហើយផ្តាច់ពីថៃ","សេដ្ឋកិច្ច ស៊ីស៊ីថាមស៍ រូបភាពតំណាង។ ភ្នំពេញ៖សម្តេច ហ៊ុន ម៉ាណែត នាយករដ្ឋមន្ត្រីនៃកម្ពុជា នៅយប់ថ្ងៃទី ","","","https://kh.cc-times.com/posts/23626",2025-06-12,4084,5987
"កម្ពុជាទទួល នាវាដឹកទំនិញ ដំបូងពីកំពង់ផែ ប្រទេសចិនមកកាន់កំពង់ផែក្រុងព្រះសីហនុ","សេដ្ឋកិច្ច ហួ ឆេងស៊ីម ព្រះសីហនុ៖ នាថ្ងៃទី ១៦ ខែមិថុនា នាវាដឹកទំនិញដំបូងបានចេញដំណើរពីកំពង់ផែ ប្រទេសចិ","","","https://kh.cc-times.com/posts/23686",2025-06-19,4159,5828
"មន្ត្រីជាន់ខ្ពស់អាកាសចរណ៍ស៊ីវិលកម្ពុជា៖កម្ពុជាអាចរងផលប៉ះពាល់ដោយប្រយោលពីការបិទដែនអាកាសនៃប្រទេសនៅមជ្ឈិមបូព៌ា","សេដ្ឋកិច្ច ហួ ឆេងស៊ីម លោក ស៊ីន ចាន់សិរីវុត្ថា រដ្ឋលេខាធិការ និងជាអ្នកនាំពាក្យរដ្ឋលេខាធិការដ្ឋានអាកាស","","","https://kh.cc-times.com/posts/23751",2025-06-24,6829,9101
"ធ្លាក់យន្តហោះនៅឥណ្ឌាបណ្តាលឲ្យមនុស្ស ២៤១ស្លាប់ដោយកុងតាក់បញ្ជូនប្រេងត្រូវបានកាត់ផ្តាច់","អន្តរជាតិ កូ រដ្ឋា ឥណ្ឌា៖ ធ្លាក់យន្តហោះ កាលពីថ្ងៃទី ១២ ខែមិថុនា ខែមុន ដែលបានសម្លាប់មនុស្ស ២៤១នាក់នៅល","","","https://kh.cc-times.com/posts/24014",2025-07-14,5206,7422
"ទំនិញក្រៅពីបន្លែ ផ្លែឈើ ប្រេងឥន្ធនៈ និងឧស្ម័នឥន្ធនៈ ថៃអាចនាំចូលកម្ពុជាបានធម្មតា លើកលែងតែតាមច្រកព្រំដែនគោក","សេដ្ឋកិច្ច ហួ ឆេងស៊ីម ភ្នំពេញ៖ អគ្គនាយកដ្ឋានគយនិងរដ្ឋាករកម្ពុជា បានឱ្យដឹងថា អាជីវករ ពាណិជ្ជករ ធុរជន ","","","https://kh.cc-times.com/posts/24057",2025-07-16,5162,7265
"អាកាសយានដ្ឋានអន្តរជាតិតេជោ នឹងរៀបចំតេស្ត ហោះហើរចុងក្រោយ នៅថ្ងៃទី៤កញ្ញា","សេដ្ឋកិច្ច ស៊ីស៊ីថាមស៍ កណ្តាល៖អាកាសយានដ្ឋានអន្តរជាតិតេជោ លំដាប់ របស់កម្ពុជា នឹងរៀបចំតេស្តសាកល្បងហោះហ","","","https://kh.cc-times.com/posts/24730",2025-09-03,4339,6265
"ក្រុមហ៊ុនអាកាសចរណ៍ចំនួន២នឹង ចុះចត នៅអាកាសយានដ្ឋានអន្តរជាតិតេជោ ជាលើកដំបូង ក្នុងថ្ងៃបើកជើងហោះហើរស្អែកនេះ","សេដ្ឋកិច្ច ហួ ឆេងស៊ីម ភ្នំពេញ៖ ក្រុមហ៊ុនអាកាសចរណ៍ចំនួន ២ គឺក្រុមហ៊ុន និងក្រុមហ៊ុន នឹងធ្វើការចុះចតនៅអ","","","https://kh.cc-times.com/posts/24783",2025-09-08,5071,7076
"សម្ដេច ហ៊ុន សែន៖ អាកាសយានដ្ឋានអន្តរជាតិតេជោ ជាច្រកទ្វារថ្មីរបស់កម្ពុជាឆ្ពោះទៅកាន់ពិភពលោក","សេដ្ឋកិច្ច ហួ ឆេងស៊ីម ភ្នំពេញ៖ សម្ដេច ហ៊ុន សែន ប្រធានព្រឹទ្ធសភាកម្ពុជា បានលើកឡើងថា អាកាសយានដ្ឋានអន្ត","","","https://kh.cc-times.com/posts/24796",2025-09-09,5904,7787
